id,name,x,y,description
1029,token_class_8,-16.62675821000006,297.39491086662133,8
1030,token_class_220,374.12017815562456,-185.35937805460233,220
1031,token_class_262,178.638698707619,-174.34944153771997,262
1032,token_class_264,35.043708299358926,-284.8720207130961,264
1033,token_class_320,-333.59339443785325,185.43629859446554,320
1034,token_class_389,-170.8610841158487,90.70303178253842,389
1035,token_class_422,93.80998374232385,223.1120262225106,422
1036,token_class_433,-303.76161371740153,-287.95614564329406,433
1037,token_class_443,-338.26641022654604,-42.731919400976516,443
1038,token_class_464,135.2208596688164,61.85312135800238,464
1039,token_class_471,367.6950393200234,-96.22077373151905,471
1040,token_class_493,33.02472101200449,-271.8348474934865,493
1041,token_class_518,-297.8960763571835,-251.87245845595686,518
1042,token_class_591,-185.07283262108646,186.7754429858383,591
1043,token_class_882,116.61267156949089,114.0870451654288,882
1044,token_class_987,-334.73874131559285,-134.31248003495006,987
1045,token_class_1176,327.2917673646535,37.60971933292634,1176
1046,token_class_1240,391.8676017620287,-173.22327141012903,1240
1047,token_class_1397,52.39253294741317,149.49297439404558,1397
1048,token_class_1533,-301.98453681520414,-74.72675505137735,1533
1049,token_class_1603,391.6349391562079,5.580755792040404,1603
1050,token_class_1679,301.506525350843,-173.01662874566603,1679
1051,token_class_1681,166.39622555758385,149.52083870720935,1681
1052,token_class_1720,267.98834143897136,-220.1060142710603,1720
1053,token_class_1754,93.56538828929901,-290.07359614289345,1754
1054,token_class_2494,292.9325637170172,292.60387035803296,2494
1055,token_class_3059,-187.54859795310006,-271.9359084822852,3059
1056,token_class_3112,-372.4877948167606,-130.0134336677935,3112
1057,token_class_3373,90.88982292943584,289.7585172101136,3373
1058,token_class_3763,173.7854596836474,164.9980050368554,3763
1059,token_class_3812,-221.4882151074409,123.82722394289696,3812
1060,token_class_4183,-132.45254005236254,-16.122435069275774,4183
1061,token_class_4401,-367.2316258634048,138.99260944686833,4401
1062,token_class_4626,112.35753208260508,-152.2299282369045,4626
1063,token_class_5225,381.842259572784,-68.87453531880179,5225
1064,token_class_5618,-61.06384563447147,-126.25425027415325,5618
1065,token_class_8092,118.35745418879515,90.40101214979347,8092
1066,token_class_10352,177.1487340932656,4.730977296916072,10352
1067,token_class_10859,223.11705189433331,43.543950880101946,10859
